id;pagetitle;published;configuration_id;doors-count;generation;generation_name;is_restyle;mark_id;model_class;model_id;model;car-price
29354;"HYUNDAI Tucson внедорожник 5 дв. III Рестайлинг";0;21344007;5;21343951;"III Рестайлинг";1;HYUNDAI;C;HYUNDAI_TUCSON;Tucson;1627000
29357;"INFINITI Q30 хэтчбек 5 дв. ";0;20689944;5;20689909;;0;INFINITI;C;INFINITI_Q30;Q30;1698000
29359;"INFINITI Q70 седан I Рестайлинг";0;20533616;4;20533608;"I Рестайлинг";1;INFINITI;E;INFINITI_Q70;Q70;1420000
29361;"INFINITI QX30 внедорожник 5 дв. ";0;20721197;5;20721148;;0;INFINITI;C;INFINITI_QX30;QX30;1800000
29363;"INFINITI QX60 внедорожник 5 дв. I Рестайлинг";0;20751599;5;20751560;"I Рестайлинг";1;INFINITI;E;INFINITI_QX60;QX60;2030000
29365;"INFINITI QX80 внедорожник 5 дв. I Рестайлинг 2";0;21153042;5;21152977;"I Рестайлинг 2";1;INFINITI;J;INFINITI_QX80;QX80;2600000
29369;"JAC S5 (Eagle) внедорожник 5 дв. I";0;20093955;5;20093948;I;0;JAC;C;JAC_S5;"S5 (Eagle)";650000
29372;"JEEP Renegade внедорожник 5 дв. I";0;20250501;5;20250476;I;0;JEEP;B;JEEP_RENEGADE;Renegade;1164000
29375;"KIA K3 седан II";0;23271304;4;23271258;II;0;KIA;C;KIA_K3;K3;1025000
29376;"KIA K3 хэтчбек 5 дв. II";0;23271482;5;23271258;II;0;KIA;C;KIA_K3;K3;1266000
29378;"KIA K5 седан II";0;21102317;4;21101656;II;0;KIA;D;KIA_K5;K5;1400000
29380;"KIA K9 седан II (RJ)";0;23292178;4;23292144;"II (RJ)";0;KIA;F;KIA_K9;K9;2800000
29382;"KIA K900 седан II";0;21481391;4;21481320;II;0;KIA;F;KIA_K900;K900;2849000
29384;"KIA Niro внедорожник 5 дв. I";0;20756766;5;20756735;I;0;KIA;C;KIA_NIRO;Niro;1150000
29386;"KIA Proceed универсал 5 дв. I";0;21735050;5;21735005;I;0;KIA;C;KIA_PROCEED;Proceed;1699000
29388;"KIA Soul EV хэтчбек 5 дв. I";0;21528387;5;21528343;I;0;KIA;B;KIA_SOUL_EV;"Soul EV";1500000
29390;"KIA Stinger лифтбек I";0;20895828;5;20895791;I;0;KIA;D;KIA_STINGER;Stinger;1750000
29392;"KIA XCeed хэтчбек 5 дв. I";0;21623234;5;21623160;I;0;KIA;C;KIA_XCEED;XCeed;1779000
29394;"KIA Carnival минивэн III";0;21186426;5;21186381;III;0;KIA;M;KIA_CARNIVAL;Carnival;1600000
29396;"KIA Ceed хэтчбек 5 дв. III";0;21212502;5;21212472;III;0;KIA;C;KIA_CEED;Ceed;1181000
29397;"KIA Ceed универсал 5 дв. III";0;21212618;5;21212472;III;0;KIA;C;KIA_CEED;Ceed;1350000
29399;"KIA Cerato седан IV";0;21383533;4;21383450;IV;0;KIA;C;KIA_CERATO;Cerato;1445000
29401;"KIA Cerato седан III Рестайлинг (Classic)";0;20888047;4;20888011;"III Рестайлинг (Classic)";1;KIA;C;KIA_CERATO;Cerato;899000
29403;"KIA Forte седан III";0;21726330;4;21726291;III;0;KIA;C;KIA_FORTE;Forte;1630000
29405;"KIA K7 седан VG (II)";0;21137251;4;21137014;"VG (II)";0;KIA;D;KIA_K7;K7;2050000
29407;"KIA Mohave внедорожник 5 дв. I Рестайлинг";0;20979449;5;20979392;"I Рестайлинг";1;KIA;E;KIA_MOHAVES;Mohave;1905000
29409;"KIA Optima седан IV Рестайлинг";0;21342121;4;21342050;"IV Рестайлинг";1;KIA;D;KIA_OPTIMA;Optima;1247000
29411;"KIA Picanto хэтчбек 5 дв. III";0;20933556;5;20933523;III;0;KIA;A;KIA_PICANTO;Picanto;799000
29412;"KIA Picanto хэтчбек 5 дв. III";0;21429919;5;20933523;III;0;KIA;A;KIA_PICANTO;Picanto;980000
29413;"KIA Picanto хэтчбек 5 дв. III";0;21207594;5;20933523;III;0;KIA;A;KIA_PICANTO;Picanto;1035000
29415;"KIA Rio седан IV";0;21028057;4;21028015;IV;0;KIA;B;KIA_RIO;Rio;730000
29416;"KIA Rio хэтчбек 5 дв. IV";0;21126875;5;21028015;IV;0;KIA;B;KIA_RIO;Rio;1000000
29418;"KIA Sorento внедорожник 5 дв. III Prime Рестайлинг";0;21180505;5;21180462;"III Prime Рестайлинг";1;KIA;D;KIA_SORENTO;Sorento;1990000
29420;"KIA Sorento внедорожник 5 дв. II Рестайлинг";0;8506308;5;8506299;"II Рестайлинг";1;KIA;D;KIA_SORENTO;Sorento;1100000
29422;"KIA Soul хэтчбек 5 дв. III";0;21551904;5;21551393;III;0;KIA;B;KIA_SOUL;Soul;1275000
29424;"KIA Soul хэтчбек 5 дв. II Рестайлинг";0;20923404;5;20923366;"II Рестайлинг";1;KIA;B;KIA_SOUL;Soul;1050000
29426;"KIA Sportage внедорожник 5 дв. IV Рестайлинг";0;21365774;5;21365721;"IV Рестайлинг";1;KIA;C;KIA_SPORTAGE;Sportage;1490000
29429;"VAZ Largus универсал 5 дв. I";0;7951400;5;7951397;I;0;VAZ;C;VAZ_LARGUS;Largus;333000
29430;"VAZ Largus фургон I";0;8455395;5;7951397;I;0;VAZ;C;VAZ_LARGUS;Largus;270000
29431;"VAZ Largus универсал 5 дв. I";0;20294153;5;7951397;I;0;VAZ;C;VAZ_LARGUS;Largus;455000
29433;"VAZ Niva внедорожник 5 дв. I";0;22145520;5;22145470;I;0;VAZ;J;VAZ_NIVA;Niva;679000
29434;"VAZ Niva внедорожник 5 дв. I";0;22437321;5;22145470;I;0;VAZ;J;VAZ_NIVA;Niva;835000
29436;"VAZ 2121 (4x4) внедорожник 3 дв. I Рестайлинг (2020)";0;21760018;3;21759937;"I Рестайлинг (2020)";1;VAZ;J;VAZ_2121;"2121 (4x4)";450000
29437;"VAZ 2121 (4x4) внедорожник 3 дв. I Рестайлинг (2020)";0;21760358;3;21759937;"I Рестайлинг (2020)";1;VAZ;J;VAZ_2121;"2121 (4x4)";600000
29439;"VAZ 2121 (4x4) внедорожник 3 дв. I Рестайлинг";0;2307324;3;2307327;"I Рестайлинг";1;VAZ;J;VAZ_2121;"2121 (4x4)";40000
29440;"VAZ 2121 (4x4) внедорожник 3 дв. I Рестайлинг";0;20286744;3;2307327;"I Рестайлинг";1;VAZ;J;VAZ_2121;"2121 (4x4)";330000
29441;"VAZ 2121 (4x4) внедорожник 3 дв. I Рестайлинг";0;21121696;3;2307327;"I Рестайлинг";1;VAZ;J;VAZ_2121;"2121 (4x4)";579000
29442;"VAZ 2121 (4x4) внедорожник 3 дв. I Рестайлинг";0;20739642;3;2307327;"I Рестайлинг";1;VAZ;J;VAZ_2121;"2121 (4x4)";105000
29443;"VAZ 2121 (4x4) внедорожник 3 дв. I Рестайлинг";0;20739683;3;2307327;"I Рестайлинг";1;VAZ;J;VAZ_2121;"2121 (4x4)";360000
29445;"VAZ 2131 (4x4) внедорожник 5 дв. I Рестайлинг (2020)";0;21762443;5;21762355;"I Рестайлинг (2020)";1;VAZ;J;VAZ_2131_4X4;"2131 (4x4)";610000
29446;"VAZ 2131 (4x4) внедорожник 5 дв. I Рестайлинг (2020)";0;21762635;5;21762355;"I Рестайлинг (2020)";1;VAZ;J;VAZ_2131_4X4;"2131 (4x4)";765000
29448;"VAZ 2131 (4x4) внедорожник 5 дв. I";0;2307328;5;20370949;I;0;VAZ;J;VAZ_2131_4X4;"2131 (4x4)";65000
29449;"VAZ 2131 (4x4) внедорожник 5 дв. I";0;20793655;5;20370949;I;0;VAZ;J;VAZ_2131_4X4;"2131 (4x4)";485990
29450;"VAZ 2131 (4x4) внедорожник 5 дв. I";0;20739714;5;20370949;I;0;VAZ;J;VAZ_2131_4X4;"2131 (4x4)";250000
29452;"VAZ 2329 пикап двойная кабина ";0;20481453;2;20347754;;0;VAZ;J;VAZ_2329;2329;190000
